what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507049547
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507053104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507055074
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507059425
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507063477
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507071037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507080559
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507099665
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1301507101556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507183445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507186308
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507334269
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301507338665
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301507341274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507343264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507880821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507880877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507881327
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507890407
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507927705
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507933386
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507934447
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507946706
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301508784516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301508886386
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301508893314
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301509921712
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301509929175
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1301509930452
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1301509930454
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1301509930456
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1301509930458
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1301509930459
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1301509930461
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1301509930463
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1301509930465
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1301509930467
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1301509930468
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1301509930468
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1301509930470
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1301509930472
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1301509930474
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1301509930476
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1301509930476
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1301509930478
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1301509930543
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1301509930579
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1301509930596
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1301509930599
stopped,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1301509930671
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1301509930717
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1301509930718
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1301509930718
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.3.0.v201004280001,"org.eclipse.jpt.eclipselink.ui",1301509930832
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.3.1.v201007142310,"org.eclipse.jpt.eclipselink.core",1301509930848
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.0.1.v201006300000,"org.eclipse.jpt.jaxb.ui",1301509930929
stopped,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1301509930944
stopped,bundle,org.eclipse.jpt.core,2.3.2.v201008252310,"org.eclipse.jpt.core",1301509930951
stopped,bundle,org.eclipse.jpt.db,1.2.201.v201008242310,"org.eclipse.jpt.db",1301509931029
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201004070709,"org.eclipse.datatools.enablement.jdt.classpath",1301509931029
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1301509931041
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1301509931127
